epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,32.919,0.45457,0.92,1,0.17119,0.000543038,0.000543038,0.000543038
2,65.8565,0.27358,0.89143,1,0.28536,0.000736132,0.000736132,0.000736132
3,98.1789,0.24963,0.96286,1,0.09797,0.000562486,0.000562486,0.000562486
